uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
mSwfRqVp,0.99,51,1,1,1,1,111,3,Lost Cheap Customers
F787BF1W,72.96000000000001,35,4,2,4,3,234,9,Big Spenders
bpKHOgnw,69.94,45,6,1,4,4,144,9,Lost Customers
7VS1TpDE,40.86000000000002,25,14,4,4,4,444,12,Champions
oobJToX5,0.99,51,1,1,1,1,111,3,Lost Cheap Customers
7W7RIeB7,9.98,38,2,2,2,2,222,6,Other
pIDC1bri,37.88,23,12,4,4,4,444,12,Champions
yRtURnLD,244.93000000000004,42,7,1,4,4,144,9,Lost Customers
poFkvBOO,64.96000000000001,50,4,1,4,3,134,8,Big Spenders
kXcc83so,8.99,50,1,1,2,1,112,4,Other
SsQBWqvH,17.96,50,4,1,3,3,133,7,Other
RLp1jwPB,33.98,48,2,1,3,2,123,6,Other
feUjeJHr,7.98,50,2,1,2,2,122,5,Other
hSwxTbX4,264.83000000000004,23,17,4,4,4,444,12,Champions
jHKCfxHh,39.88,30,12,3,4,4,344,11,Other
fWol44wV,6.960000000000001,41,4,1,2,3,132,6,Other
IempNhjF,3.99,50,1,1,1,1,111,3,Lost Cheap Customers
dcM5kWyV,69.96000000000001,35,4,2,4,3,234,9,Big Spenders
shGk87lS,95.96000000000001,44,4,1,4,3,134,8,Big Spenders
6I4XEsCw,8.99,50,1,1,2,1,112,4,Other
FQsBnEU6,23.95,40,5,2,3,4,243,9,Loyal Customers
Cfftvk1U,92.92000000000002,29,8,3,4,4,344,11,Other
iV4biTye,16.92,41,8,1,2,4,142,7,Loyal Customers
ptqGCW3q,0.99,50,1,1,1,1,111,3,Lost Cheap Customers
cjMrFcOq,11.97,44,3,1,2,3,132,6,Other
hUctoILx,53.90000000000001,45,10,1,4,4,144,9,Lost Customers
QXW7k1yt,8.99,50,1,1,2,1,112,4,Other
umWebdEw,139.79999999999998,35,20,2,4,4,244,10,Almost Lost
jwPFyfji,3.99,49,1,1,1,1,111,3,Lost Cheap Customers
owjM4WdD,8.99,49,1,1,2,1,112,4,Other
67bSHdPg,28.889999999999997,38,11,2,3,4,243,9,Loyal Customers
1dgUwcO2,3.99,49,1,1,1,1,111,3,Lost Cheap Customers
RbFBStfK,4.98,48,2,1,1,2,121,4,Other
C2kMHtqu,16.99,49,1,1,2,1,112,4,Other
UlfIbE6o,144.9,45,10,1,4,4,144,9,Lost Customers
whruvXJi,61.94,46,6,1,4,4,144,9,Lost Customers
Me58pOh4,69.98,46,2,1,4,2,124,7,Big Spenders
ptyrbFy6,2.9699999999999998,46,3,1,1,3,131,5,Other
fr7w3jjI,43.96,41,4,1,4,3,134,8,Big Spenders
KCYxomys,42.97,44,3,1,4,3,134,8,Big Spenders
37UvqmkP,3.99,49,1,1,1,1,111,3,Lost Cheap Customers
nbyMlUOG,20.929999999999996,44,7,1,3,4,143,8,Loyal Customers
nFKfoJQH,44.93000000000001,26,7,3,4,4,344,11,Other
Eubu5cw3,259.96,26,4,3,4,3,334,10,Big Spenders
QvbPEvvR,50.97,23,3,4,4,3,434,11,Other
PNb4SH6P,193.92000000000002,23,8,4,4,4,444,12,Champions
u7LPmGYQ,203.95999999999998,33,4,2,4,3,234,9,Big Spenders
mku3sbf6,21.97,39,3,2,3,3,233,8,Other
D7KEhWsr,31.950000000000003,24,5,4,3,4,443,11,Other
ybcBH8XH,3.99,49,1,1,1,1,111,3,Lost Cheap Customers
W2GdYKID,1.98,45,2,1,1,2,121,4,Other
iCQiGJRf,1.98,39,2,2,1,2,221,5,Other
