uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
3Uf5Yjed,52.949999999999996,28,5,3,4,4,344,11,Other
wUyivjpK,54.93000000000001,23,7,4,4,4,444,12,Champions
mIUqKIXN,92.87999999999998,24,12,4,4,4,444,12,Champions
6DHRyX3h,150.95,28,5,3,4,4,344,11,Other
cGomXgb5,8.99,33,1,2,2,1,212,5,Other
jsbXWGf1,2.9699999999999998,23,3,4,1,3,431,8,Recent Customer
i8x5gCoM,6.960000000000001,31,4,3,2,3,332,8,Other
sMyb88t3,0.99,33,1,2,1,1,211,4,Other
veslUEbS,2.9699999999999998,32,3,3,1,3,331,7,Other
fVlHnxRw,3.99,33,1,2,1,1,211,4,Other
IcdLwRYS,11.97,27,3,3,2,3,332,8,Other
LisRCHol,24.97,29,3,3,3,3,333,9,Other
QyFD1kn7,3.99,33,1,2,1,1,211,4,Other
tWU76B2w,25.96,23,4,4,3,3,433,10,Recent Customer
Cu2tIRFm,8.99,33,1,2,2,1,212,5,Other
bxyscMqH,16.99,33,1,2,2,1,212,5,Other
ompyGqT7,107.83999999999996,24,16,4,4,4,444,12,Champions
uvCJBcMQ,76.94999999999999,25,5,4,4,4,444,12,Champions
kEvbU475,9.98,27,2,3,2,2,322,7,Other
8JcrSlLi,4.98,33,2,2,1,2,221,5,Other
TovvPfQC,0.99,33,1,2,1,1,211,4,Other
JcXFLJ8Y,51.980000000000004,25,2,4,4,2,424,10,Other
EQRJo5cv,17.98,25,2,4,3,2,423,9,Recent Customer
LJnSxmR2,8.99,33,1,2,2,1,212,5,Other
VlbtPov8,8.99,33,1,2,2,1,212,5,Other
ocB8i13L,25.979999999999997,31,2,3,3,2,323,8,Other
4DC3TjwO,25.979999999999997,29,2,3,3,2,323,8,Other
b66ytPEL,140.62999999999997,25,37,4,4,4,444,12,Champions
dxO6mSFN,60.95,23,5,4,4,4,444,12,Champions
ihuCQdQP,3.99,33,1,2,1,1,211,4,Other
mjxnQIwI,5.970000000000001,28,3,3,2,3,332,8,Other
mtQKewyG,0.99,33,1,2,1,1,211,4,Other
7PlS7UFc,7.98,33,2,2,2,2,222,6,Other
VCLICtEO,4.98,31,2,3,1,2,321,6,Other
vc6EMKti,329.94,28,6,3,4,4,344,11,Other
EEMPmqse,15.93,22,7,4,2,4,442,10,Other
JS3yKNsJ,33.940000000000005,26,6,3,3,4,343,10,Loyal Customers
uW3NrspG,7.98,30,2,3,2,2,322,7,Other
4gv7ELFw,0.99,33,1,2,1,1,211,4,Other
eMLBckr7,17.96,26,4,3,3,3,333,9,Other
EKm3clSB,12.96,26,4,3,2,3,332,8,Other
egudstmc,38.980000000000004,28,2,3,4,2,324,9,Big Spenders
rQUJvtpU,107.82999999999994,22,17,4,4,4,444,12,Champions
T7jebsOT,0.99,32,1,3,1,1,311,5,Other
lVvgUW7D,164.96999999999997,28,3,3,4,3,334,10,Big Spenders
PfLIjYOt,408.6400000000001,25,36,4,4,4,444,12,Champions
SSN5QEh4,3.99,32,1,3,1,1,311,5,Other
bwF5W7lE,26.97,25,3,4,3,3,433,10,Recent Customer
iRYuH8iB,26.97,28,3,3,3,3,333,9,Other
DhP6Ecxt,0.99,32,1,3,1,1,311,5,Other
OXfo2vv6,5.970000000000001,31,3,3,2,3,332,8,Other
twfc7IUW,12.98,32,2,3,2,2,322,7,Other
E4QsY4qN,79.88000000000001,29,12,3,4,4,344,11,Other
GrsyRTd3,17.98,30,2,3,3,2,323,8,Other
oJ4MlnIH,8.99,32,1,3,2,1,312,6,Other
VyXsh2fp,132.85999999999996,26,14,3,4,4,344,11,Other
fvEoQIJu,46.91,25,9,4,4,4,444,12,Champions
cDUuGoqK,10.97,27,3,3,2,3,332,8,Other
8Ppohvg3,24.97,27,3,3,3,3,333,9,Other
rxQD8P5W,0.99,32,1,3,1,1,311,5,Other
dhtgqYju,3.99,32,1,3,1,1,311,5,Other
gWQDQxUr,8.99,32,1,3,2,1,312,6,Other
ulyWxJjU,3.99,32,1,3,1,1,311,5,Other
rqN4TgKv,37.97,27,3,3,4,3,334,10,Big Spenders
5ImmJ8jO,8.940000000000001,23,6,4,2,4,442,10,Other
5ErsuvbE,3.99,32,1,3,1,1,311,5,Other
leIU8VE5,0.99,32,1,3,1,1,311,5,Other
vC1OkYNF,8.99,32,1,3,2,1,312,6,Other
uhPPdHBP,86.97,24,3,4,4,3,434,11,Other
RTQESrKE,16.99,32,1,3,2,1,312,6,Other
6ffCGGxm,12.98,23,2,4,2,2,422,8,Recent Customer
tmjBeM2w,3.99,32,1,3,1,1,311,5,Other
Qg1x7W4j,3.99,32,1,3,1,1,311,5,Other
UskEY6J2,8.99,32,1,3,2,1,312,6,Other
UPfXifgG,51.92000000000001,24,8,4,4,4,444,12,Champions
pJWuY64q,0.99,32,1,3,1,1,311,5,Other
I5GxdDjS,45.96000000000001,27,4,3,4,3,334,10,Big Spenders
sXSmliD1,21.97,25,3,4,3,3,433,10,Recent Customer
L3e7wKtm,8.99,32,1,3,2,1,312,6,Other
44UJTfD8,12.98,30,2,3,2,2,322,7,Other
8xqLj6fD,8.99,32,1,3,2,1,312,6,Other
J6gKxviy,0.99,32,1,3,1,1,311,5,Other
FcuPIfbL,12.98,32,2,3,2,2,322,7,Other
obClJcQH,3.99,31,1,3,1,1,311,5,Other
yEd7Xxyl,7.98,25,2,4,2,2,422,8,Recent Customer
4HyQTyJF,0.99,31,1,3,1,1,311,5,Other
HsNlqDGW,18.9,22,10,4,3,4,443,11,Other
Wvt5dC4l,19.950000000000003,28,5,3,3,4,343,10,Loyal Customers
xPR8WWqs,37.97,28,3,3,4,3,334,10,Big Spenders
RbNDqhEN,20.96,25,4,4,3,3,433,10,Recent Customer
mIrKbUpg,3.99,31,1,3,1,1,311,5,Other
NRBWvCcg,0.99,31,1,3,1,1,311,5,Other
VwMjreKj,57.93,23,7,4,4,4,444,12,Champions
mKWOsN3J,86.89000000000001,24,11,4,4,4,444,12,Champions
xdPTnhXQ,33.98,26,2,3,3,2,323,8,Other
gdGICqJc,16.99,31,1,3,2,1,312,6,Other
YmPr7s81,112.94999999999999,31,5,3,4,4,344,11,Other
SKjdkxYt,17.98,23,2,4,3,2,423,9,Recent Customer
rOl18rcM,8.99,31,1,3,2,1,312,6,Other
1poWRslf,3.99,31,1,3,1,1,311,5,Other
NIdrM2nd,9.98,25,2,4,2,2,422,8,Recent Customer
NSUJCOiL,3.99,31,1,3,1,1,311,5,Other
xOXUqrs8,134.97,24,3,4,4,3,434,11,Other
QmYIVj2M,8.99,31,1,3,2,1,312,6,Other
RClVQDoe,3.99,31,1,3,1,1,311,5,Other
PdDej1cw,0.99,31,1,3,1,1,311,5,Other
OHOPbemO,21.839999999999996,25,16,4,3,4,443,11,Other
kkFgnFdT,3.99,31,1,3,1,1,311,5,Other
nvVmI5Nc,119.89999999999996,23,10,4,4,4,444,12,Champions
1OC22ivW,3.99,31,1,3,1,1,311,5,Other
iBQqltbv,18.950000000000003,31,5,3,3,4,343,10,Loyal Customers
qNgILr8N,16.950000000000003,27,5,3,2,4,342,9,Loyal Customers
pMosQmUm,68.88,23,12,4,4,4,444,12,Champions
HxOE4Icx,30.96,23,4,4,3,3,433,10,Recent Customer
7ihjuVEq,29.950000000000003,27,5,3,3,4,343,10,Loyal Customers
w14lIyxE,20.96,22,4,4,3,3,433,10,Recent Customer
nNNLfF83,34.97,22,3,4,3,3,433,10,Recent Customer
tWjpUffN,8.99,31,1,3,2,1,312,6,Other
jvNFqYcx,12.870000000000001,22,13,4,2,4,442,10,Other
fgQwvg8c,14.910000000000002,23,9,4,2,4,442,10,Other
xSpK1MWQ,99.97999999999999,30,2,3,4,2,324,9,Big Spenders
5WPJPnQ6,16.99,31,1,3,2,1,312,6,Other
tMCKGymn,92.91999999999999,29,8,3,4,4,344,11,Other
dfh8PRTo,16.97,27,3,3,2,3,332,8,Other
UWEMskjL,16.97,28,3,3,2,3,332,8,Other
l18xjmot,22.909999999999997,26,9,3,3,4,343,10,Loyal Customers
yFDNflMk,0.99,30,1,3,1,1,311,5,Other
Gp7QN4jp,89.81000000000002,22,19,4,4,4,444,12,Champions
8HTjumIp,90.96999999999998,28,3,3,4,3,334,10,Big Spenders
JpgMsRwC,17.98,30,2,3,3,2,323,8,Other
DNv1sex3,16.97,23,3,4,2,3,432,9,Recent Customer
Pitg7o1H,8.97,22,3,4,2,3,432,9,Recent Customer
GYoIDgpk,3.99,30,1,3,1,1,311,5,Other
w53rQNT5,0.99,30,1,3,1,1,311,5,Other
v6EB7fHb,1.98,30,2,3,1,2,321,6,Other
IyiRbWCO,165.90000000000003,22,10,4,4,4,444,12,Champions
gyLcIDxC,33.98,28,2,3,3,2,323,8,Other
yCQIYQDU,120.92999999999999,24,7,4,4,4,444,12,Champions
gbeMTFl1,62.93000000000001,22,7,4,4,4,444,12,Champions
iXBDme2t,0.99,30,1,3,1,1,311,5,Other
k5XSskN5,17.98,24,2,4,3,2,423,9,Recent Customer
XXkLsF5n,57.93,27,7,3,4,4,344,11,Other
cweGGi8o,12.98,29,2,3,2,2,322,7,Other
2MbyJvcl,0.99,30,1,3,1,1,311,5,Other
kUkxHwRd,16.99,30,1,3,2,1,312,6,Other
Bjq74XJG,2.9699999999999998,28,3,3,1,3,331,7,Other
hteQIu5S,0.99,30,1,3,1,1,311,5,Other
oKEewvsJ,9.98,30,2,3,2,2,322,7,Other
flQ3lO4y,3.99,30,1,3,1,1,311,5,Other
uVvlywyt,3.99,30,1,3,1,1,311,5,Other
W2Mvst4X,3.99,30,1,3,1,1,311,5,Other
jdCdPfj5,8.99,30,1,3,2,1,312,6,Other
uGjyWCyI,65.89000000000001,22,11,4,4,4,444,12,Champions
Xx2DUY6u,8.99,30,1,3,2,1,312,6,Other
kiS7IbYl,26.849999999999987,22,15,4,3,4,443,11,Other
hppU3Pvs,76.85,26,15,3,4,4,344,11,Other
yExIGlU5,71.96000000000001,22,4,4,4,3,434,11,Other
G2heEc7C,0.99,30,1,3,1,1,311,5,Other
VFYXHjPN,3.99,30,1,3,1,1,311,5,Other
oLUQ2U7R,56.940000000000005,25,6,4,4,4,444,12,Champions
YVRWcVLH,21.97,27,3,3,3,3,333,9,Other
4qR7IFre,0.99,30,1,3,1,1,311,5,Other
LY2b6bYs,0.99,30,1,3,1,1,311,5,Other
NgSgu7n2,0.99,30,1,3,1,1,311,5,Other
fUQoWKW7,17.979999999999997,28,2,3,3,2,323,8,Other
8Loi7CWE,16.99,30,1,3,2,1,312,6,Other
gyBwhyoC,11.97,29,3,3,2,3,332,8,Other
kJKVSxHP,98.78999999999996,23,21,4,4,4,444,12,Champions
kFIqlwoM,16.99,30,1,3,2,1,312,6,Other
xBTJ1rjC,17.98,30,2,3,3,2,323,8,Other
wmR8tdDW,16.99,30,1,3,2,1,312,6,Other
TbpXmpTu,64.99,30,1,3,4,1,314,8,Big Spenders
BLH1JW6S,69.96000000000001,23,4,4,4,3,434,11,Other
TwXNk4BU,52.849999999999994,22,15,4,4,4,444,12,Champions
6q8q2EbI,42.91999999999999,23,8,4,4,4,444,12,Champions
bRQlSXVf,12.98,22,2,4,2,2,422,8,Recent Customer
qWS45otX,27.96,22,4,4,3,3,433,10,Recent Customer
xfSBm4rv,9.98,29,2,3,2,2,322,7,Other
jpf4DTgb,9.96,25,4,4,2,3,432,9,Recent Customer
jqXeQMEj,8.99,29,1,3,2,1,312,6,Other
NFldhgCh,26.97,22,3,4,3,3,433,10,Recent Customer
cWNMTcDU,0.99,29,1,3,1,1,311,5,Other
MIVUG7e5,5.94,23,6,4,2,4,442,10,Other
EUu6kIB3,18.97,28,3,3,3,3,333,9,Other
SNeffmb6,20.979999999999997,28,2,3,3,2,323,8,Other
kptiOhxG,16.99,29,1,3,2,1,312,6,Other
erpvJQYb,4.95,27,5,3,1,4,341,8,Loyal Customers
myGVqDku,8.99,29,1,3,2,1,312,6,Other
kC4rjeQI,107.88,22,12,4,4,4,444,12,Champions
H357Rb6r,3.99,29,1,3,1,1,311,5,Other
CwCGrbDE,77.88,22,12,4,4,4,444,12,Champions
8Sfwk2bO,3.99,29,1,3,1,1,311,5,Other
m3clcGhi,5.970000000000001,29,3,3,2,3,332,8,Other
86X6lTYC,64.99,29,1,3,4,1,314,8,Big Spenders
Ie7LFKec,51.980000000000004,28,2,3,4,2,324,9,Big Spenders
U24ugBL2,24.940000000000005,22,6,4,3,4,443,11,Other
pGPOfYgm,93.91999999999999,23,8,4,4,4,444,12,Champions
dWDTvj7G,0.99,29,1,3,1,1,311,5,Other
GMsxRDIs,8.99,29,1,3,2,1,312,6,Other
duHup64k,70.93,23,7,4,4,4,444,12,Champions
gMYFMVU5,194.96999999999997,28,3,3,4,3,334,10,Big Spenders
dhDDjGpV,17.979999999999997,23,2,4,3,2,423,9,Recent Customer
NMK6WWBM,11.97,24,3,4,2,3,432,9,Recent Customer
grLWwCRv,8.99,29,1,3,2,1,312,6,Other
W7sJv8y8,8.99,29,1,3,2,1,312,6,Other
PJED6inR,3.99,29,1,3,1,1,311,5,Other
x4Qmv7Jh,34.99,29,1,3,3,1,313,7,Other
6sbPjSQN,59.930000000000014,22,7,4,4,4,444,12,Champions
Q2BUhtmM,17.98,27,2,3,3,2,323,8,Other
mL8KN6RD,20.979999999999997,27,2,3,3,2,323,8,Other
DFWCDXKw,8.97,22,3,4,2,3,432,9,Recent Customer
Tr62kcHo,336.90000000000003,23,10,4,4,4,444,12,Champions
oyIliFH8,34.99,29,1,3,3,1,313,7,Other
cwjDvN3S,38.96,22,4,4,4,3,434,11,Other
bNKhmonO,59.959999999999994,22,4,4,4,3,434,11,Other
bBWVUxG5,55.970000000000006,26,3,3,4,3,334,10,Big Spenders
BOUPbRVu,8.99,29,1,3,2,1,312,6,Other
pImRduOO,3.99,29,1,3,1,1,311,5,Other
WiPCGtdY,25.96,22,4,4,3,3,433,10,Recent Customer
JsLvJvtv,16.99,28,1,3,2,1,312,6,Other
8NmdtSPq,16.99,28,1,3,2,1,312,6,Other
gjVVcRLX,19.939999999999994,26,6,3,3,4,343,10,Loyal Customers
3tCvyl2m,75.91,24,9,4,4,4,444,12,Champions
WNi42GTg,34.99,28,1,3,3,1,313,7,Other
FRnCtQH3,20.979999999999997,28,2,3,3,2,323,8,Other
jo5qG3Gd,16.99,28,1,3,2,1,312,6,Other
w5nCMEpS,6.960000000000001,27,4,3,2,3,332,8,Other
OfnNgCxh,43.96,24,4,4,4,3,434,11,Other
fOcOU61c,34.99,28,1,3,3,1,313,7,Other
oOwScBW2,25.979999999999997,28,2,3,3,2,323,8,Other
X7CVDxNt,4.98,26,2,3,1,2,321,6,Other
swrm8rBD,0.99,28,1,3,1,1,311,5,Other
YhIf6e8e,0.99,28,1,3,1,1,311,5,Other
b8YLE7Ek,8.99,28,1,3,2,1,312,6,Other
4B7twD3L,8.97,27,3,3,2,3,332,8,Other
wVCtFuIe,34.99,28,1,3,3,1,313,7,Other
R5DKwYyi,1.98,24,2,4,1,2,421,7,Recent Customer
rpgO6Mnb,16.99,28,1,3,2,1,312,6,Other
LqH2oOVt,0.99,28,1,3,1,1,311,5,Other
KoK8YL7i,0.99,28,1,3,1,1,311,5,Other
CJSve4BQ,4.98,28,2,3,1,2,321,6,Other
eJ2he33v,69.93999999999998,26,6,3,4,4,344,11,Other
BNgUhb83,7.98,28,2,3,2,2,322,7,Other
NdudG5rC,25.93,23,7,4,3,4,443,11,Other
sgI8YQNy,8.99,28,1,3,2,1,312,6,Other
tDYIXcW6,16.99,28,1,3,2,1,312,6,Other
2GDkwyRd,0.99,28,1,3,1,1,311,5,Other
H8cEMJ5L,1.98,22,2,4,1,2,421,7,Recent Customer
R8wlGKoT,71.92,22,8,4,4,4,444,12,Champions
cSVRyfw2,6.960000000000001,28,4,3,2,3,332,8,Other
bFVo7qh8,13.97,23,3,4,2,3,432,9,Recent Customer
pb1Fr3vl,46.93000000000001,22,7,4,4,4,444,12,Champions
sKwerp7w,34.99,27,1,3,3,1,313,7,Other
OuNQLlTp,32.94,23,6,4,3,4,443,11,Other
2w8FlblF,25.959999999999997,22,4,4,3,3,433,10,Recent Customer
Sij2pco6,3.99,27,1,3,1,1,311,5,Other
IynL4YDK,8.99,27,1,3,2,1,312,6,Other
OOtYKxf5,17.98,23,2,4,3,2,423,9,Recent Customer
LQcfYUXS,0.99,27,1,3,1,1,311,5,Other
Q2nn1hBm,3.99,27,1,3,1,1,311,5,Other
d6leXXnY,8.99,27,1,3,2,1,312,6,Other
nokKkGNc,0.99,27,1,3,1,1,311,5,Other
J4tVnLxO,78.93,22,7,4,4,4,444,12,Champions
WnVB8NQK,17.979999999999997,25,2,4,3,2,423,9,Recent Customer
2kSu5qF4,0.99,27,1,3,1,1,311,5,Other
x55tjhXr,18.969999999999995,27,3,3,3,3,333,9,Other
oxhXnrDh,21.969999999999995,25,3,4,3,3,433,10,Recent Customer
bT5FtRqx,8.99,27,1,3,2,1,312,6,Other
88Uv2wqq,3.99,27,1,3,1,1,311,5,Other
7kEwKgmo,17.98,26,2,3,3,2,323,8,Other
Ewt1cube,8.94,25,6,4,2,4,442,10,Other
OeJwbGc6,71.84999999999998,26,15,3,4,4,344,11,Other
pOOYbrJT,0.99,27,1,3,1,1,311,5,Other
FMG52LRi,12.98,27,2,3,2,2,322,7,Other
lbilNiNk,3.99,27,1,3,1,1,311,5,Other
QVuUCc4s,18.95,24,5,4,3,4,443,11,Other
33x1PBvr,139.96,24,4,4,4,3,434,11,Other
H6LlRKYB,16.97,25,3,4,2,3,432,9,Recent Customer
lmq5x1NJ,5.970000000000001,23,3,4,2,3,432,9,Recent Customer
tJixNolu,0.99,27,1,3,1,1,311,5,Other
qv8BppwB,12.98,27,2,3,2,2,322,7,Other
p5SSdDVv,8.99,27,1,3,2,1,312,6,Other
KkuDfv2r,3.99,27,1,3,1,1,311,5,Other
d6BMtrML,3.99,27,1,3,1,1,311,5,Other
SKXTk118,1.98,27,2,3,1,2,321,6,Other
xr7YhxmG,0.99,27,1,3,1,1,311,5,Other
QL63XpkY,24.97,26,3,3,3,3,333,9,Other
XkiBomrr,22.959999999999994,26,4,3,3,3,333,9,Other
4qJMuB2j,8.99,26,1,3,2,1,312,6,Other
yic5TxdE,8.99,26,1,3,2,1,312,6,Other
16p8U2Rt,3.99,26,1,3,1,1,311,5,Other
RjRrby74,139.94,24,6,4,4,4,444,12,Champions
Pcr4rwcd,3.99,26,1,3,1,1,311,5,Other
UYnIXDNx,10.97,23,3,4,2,3,432,9,Recent Customer
h6S8Mess,5.970000000000001,26,3,3,2,3,332,8,Other
QeLRlVys,3.99,26,1,3,1,1,311,5,Other
5KMGmlVs,33.98,23,2,4,3,2,423,9,Recent Customer
mM8qqw5o,0.99,26,1,3,1,1,311,5,Other
JmEbL5sL,9.98,22,2,4,2,2,422,8,Recent Customer
7inOuCXp,0.99,26,1,3,1,1,311,5,Other
57srk3qD,0.99,26,1,3,1,1,311,5,Other
kiHWCSO2,24.950000000000003,24,5,4,3,4,443,11,Other
82vgMSV6,397.86000000000007,22,14,4,4,4,444,12,Champions
ojtr5yBd,12.98,25,2,4,2,2,422,8,Recent Customer
iq5xsuu5,3.99,26,1,3,1,1,311,5,Other
IQEMGEeX,17.979999999999997,26,2,3,3,2,323,8,Other
bibklMcO,24.950000000000003,23,5,4,3,4,443,11,Other
gTUb7oRy,29.97,23,3,4,3,3,433,10,Recent Customer
OiOHvGV5,12.98,26,2,3,2,2,322,7,Other
ofXVw37x,35.96,24,4,4,3,3,433,10,Recent Customer
WYQTnolU,3.99,26,1,3,1,1,311,5,Other
WpeHIFgI,43.96,22,4,4,4,3,434,11,Other
fr3kIQ7M,16.99,26,1,3,2,1,312,6,Other
6mDMg4BN,9.98,24,2,4,2,2,422,8,Recent Customer
qWYjmPpQ,13.97,26,3,3,2,3,332,8,Other
XsnWcO8J,11.96,26,4,3,2,3,332,8,Other
BBsvMNCF,0.99,26,1,3,1,1,311,5,Other
rlKh7nXr,9.98,26,2,3,2,2,322,7,Other
YF1KX8rm,3.99,26,1,3,1,1,311,5,Other
V33s3GE1,47.97,26,3,3,4,3,334,10,Big Spenders
YxjSkUWm,8.99,26,1,3,2,1,312,6,Other
MeKONWx7,33.98,22,2,4,3,2,423,9,Recent Customer
OglFcNOD,25.979999999999997,22,2,4,3,2,423,9,Recent Customer
3TkkbDGx,13.97,26,3,3,2,3,332,8,Other
Gi5OTxpx,3.99,26,1,3,1,1,311,5,Other
oH3SN8Yp,1.98,26,2,3,1,2,321,6,Other
l3HFT7SN,3.99,26,1,3,1,1,311,5,Other
3vEgnkcY,16.99,26,1,3,2,1,312,6,Other
G1EUoVD8,8.99,26,1,3,2,1,312,6,Other
6DhQcDeS,17.98,26,2,3,3,2,323,8,Other
4pQ77NvE,21.93,25,7,4,3,4,443,11,Other
2owLYMYh,3.99,25,1,4,1,1,411,6,Recent Customer
B6jwT1Yi,3.99,25,1,4,1,1,411,6,Recent Customer
cSLX7WrO,25.96,25,4,4,3,3,433,10,Recent Customer
X64LJkrc,62.930000000000014,25,7,4,4,4,444,12,Champions
QRwECqum,27.959999999999994,22,4,4,3,3,433,10,Recent Customer
KCqORJfD,20.979999999999997,24,2,4,3,2,423,9,Recent Customer
BdsmHUTg,27.959999999999994,24,4,4,3,3,433,10,Recent Customer
xhmrPWgm,12.98,23,2,4,2,2,422,8,Recent Customer
G6TuohSb,16.99,25,1,4,2,1,412,7,Recent Customer
HSvt8KCG,67.96,22,4,4,4,3,434,11,Other
orMlyFHk,130.95,23,5,4,4,4,444,12,Champions
EixbSEsN,38.940000000000005,24,6,4,4,4,444,12,Champions
4rvxMyHU,12.950000000000001,22,5,4,2,4,442,10,Other
fQhkMwvJ,1.98,22,2,4,1,2,421,7,Recent Customer
1ej6O1Ep,12.98,24,2,4,2,2,422,8,Recent Customer
OgpxqiRd,3.99,25,1,4,1,1,411,6,Recent Customer
SXMSSg6b,8.99,25,1,4,2,1,412,7,Recent Customer
mPLG2gsG,8.99,25,1,4,2,1,412,7,Recent Customer
RqKV1D8f,7.98,25,2,4,2,2,422,8,Recent Customer
e1xoOjlo,0.99,25,1,4,1,1,411,6,Recent Customer
dfTJxGmE,16.99,25,1,4,2,1,412,7,Recent Customer
Eb3kPsun,30.96,23,4,4,3,3,433,10,Recent Customer
4fwNsD7c,13.950000000000001,22,5,4,2,4,442,10,Other
f5ROYyRq,38.959999999999994,23,4,4,4,3,434,11,Other
bdUTurSe,17.959999999999997,24,4,4,3,3,433,10,Recent Customer
RGs7rTtg,3.99,25,1,4,1,1,411,6,Recent Customer
G4jjMIFL,34.99,25,1,4,3,1,413,8,Recent Customer
bxvsJIyp,3.99,25,1,4,1,1,411,6,Recent Customer
s8cXVloT,2.9699999999999998,25,3,4,1,3,431,8,Recent Customer
HOmfCwDL,51.980000000000004,23,2,4,4,2,424,10,Other
cMDy5JV4,16.99,25,1,4,2,1,412,7,Recent Customer
cxpVHO6P,12.98,25,2,4,2,2,422,8,Recent Customer
xnIdunfH,8.99,25,1,4,2,1,412,7,Recent Customer
qvjyPfwc,1.98,23,2,4,1,2,421,7,Recent Customer
E832enkO,8.99,25,1,4,2,1,412,7,Recent Customer
57kNmBmE,34.99,25,1,4,3,1,413,8,Recent Customer
jbpj2KsI,22.959999999999994,23,4,4,3,3,433,10,Recent Customer
5tyNT1TK,3.99,25,1,4,1,1,411,6,Recent Customer
kbN1Ulf8,34.99,25,1,4,3,1,413,8,Recent Customer
Od1C4OXK,16.99,24,1,4,2,1,412,7,Recent Customer
RbHO1HC5,21.969999999999995,23,3,4,3,3,433,10,Recent Customer
uvbnLJ1T,3.99,24,1,4,1,1,411,6,Recent Customer
e3Mmqqsw,64.99,24,1,4,4,1,414,9,Other
1uSw7c4Q,9.96,24,4,4,2,3,432,9,Recent Customer
e1jVS4xi,8.99,24,1,4,2,1,412,7,Recent Customer
ReQlX3S2,8.99,24,1,4,2,1,412,7,Recent Customer
uIrKF8Ui,8.99,24,1,4,2,1,412,7,Recent Customer
Uhit2fM7,0.99,24,1,4,1,1,411,6,Recent Customer
12tBHsip,3.99,24,1,4,1,1,411,6,Recent Customer
YGlIKJgi,216.94,22,6,4,4,4,444,12,Champions
BMpm8pVJ,8.99,24,1,4,2,1,412,7,Recent Customer
Jx6gmioi,0.99,24,1,4,1,1,411,6,Recent Customer
WrK2DOxi,8.99,24,1,4,2,1,412,7,Recent Customer
WVEjiKyb,1.98,23,2,4,1,2,421,7,Recent Customer
QqmyHwQq,16.99,24,1,4,2,1,412,7,Recent Customer
Rhu2h3m5,8.99,24,1,4,2,1,412,7,Recent Customer
MeY8jRYW,21.97,22,3,4,3,3,433,10,Recent Customer
5D7FCoFn,12.96,24,4,4,2,3,432,9,Recent Customer
mbLMCHEG,3.99,24,1,4,1,1,411,6,Recent Customer
lByON7KS,0.99,24,1,4,1,1,411,6,Recent Customer
K22JfPoD,64.99,24,1,4,4,1,414,9,Other
DESfVwr1,77.94,22,6,4,4,4,444,12,Champions
FOTEMjNF,16.99,24,1,4,2,1,412,7,Recent Customer
XyCstJlW,8.99,24,1,4,2,1,412,7,Recent Customer
fxn3pbeP,0.99,24,1,4,1,1,411,6,Recent Customer
MwsHgush,2.9699999999999998,23,3,4,1,3,431,8,Recent Customer
NQhT7lsW,26.949999999999996,22,5,4,3,4,443,11,Other
eJnbdPDU,12.98,24,2,4,2,2,422,8,Recent Customer
LW4SfP7f,9.98,24,2,4,2,2,422,8,Recent Customer
q8oFjbph,2.9699999999999998,24,3,4,1,3,431,8,Recent Customer
c8X163vh,34.97,22,3,4,3,3,433,10,Recent Customer
56LRBsoK,3.99,24,1,4,1,1,411,6,Recent Customer
lNRnI5YB,19.950000000000003,22,5,4,3,4,443,11,Other
WlNy5NI3,0.99,24,1,4,1,1,411,6,Recent Customer
N4bSvE72,8.99,24,1,4,2,1,412,7,Recent Customer
d3hdwStV,3.99,24,1,4,1,1,411,6,Recent Customer
bce6NGWX,26.969999999999995,22,3,4,3,3,433,10,Recent Customer
6WnOuJSq,8.99,24,1,4,2,1,412,7,Recent Customer
yxLPPljP,3.99,24,1,4,1,1,411,6,Recent Customer
hUBOLE4p,4.98,24,2,4,1,2,421,7,Recent Customer
ODrqinYY,3.99,24,1,4,1,1,411,6,Recent Customer
RW7PPwxL,51.980000000000004,22,2,4,4,2,424,10,Other
YgtD56Xi,16.99,24,1,4,2,1,412,7,Recent Customer
lfujREfM,16.99,24,1,4,2,1,412,7,Recent Customer
beFutOlg,8.99,24,1,4,2,1,412,7,Recent Customer
bDWJVquD,1.98,23,2,4,1,2,421,7,Recent Customer
4Mj8pXqY,16.99,23,1,4,2,1,412,7,Recent Customer
vUEv7xLg,21.97,23,3,4,3,3,433,10,Recent Customer
Ksjkyoxk,50.97,22,3,4,4,3,434,11,Other
xNB6kbIx,33.98,23,2,4,3,2,423,9,Recent Customer
qd8v3cIR,34.99,23,1,4,3,1,413,8,Recent Customer
LetBigcy,259.96,22,4,4,4,3,434,11,Other
qrSPioFO,19.96,23,4,4,3,3,433,10,Recent Customer
d6kt5UGn,3.99,23,1,4,1,1,411,6,Recent Customer
bCqVImwl,8.99,23,1,4,2,1,412,7,Recent Customer
FuEfMCvW,8.99,23,1,4,2,1,412,7,Recent Customer
jVKu5OdD,8.99,23,1,4,2,1,412,7,Recent Customer
EXq4cjOR,0.99,23,1,4,1,1,411,6,Recent Customer
dwiNFW4t,4.98,23,2,4,1,2,421,7,Recent Customer
DHF3cGQY,0.99,23,1,4,1,1,411,6,Recent Customer
vlw1uRUy,55.97,23,3,4,4,3,434,11,Other
xDElDkXT,8.99,23,1,4,2,1,412,7,Recent Customer
